re,co,cc,lo,me
METROPOLITANA DE SANTIAGO,MAIPU,MAIPU,ESCUELA VICENTE REYES PALAZUELOS,162M
METROPOLITANA DE SANTIAGO,MAIPU,MAIPU,GIMNASIO MUNICIPAL,103V
METROPOLITANA DE SANTIAGO,MAIPU,MAIPU,LICEO INDUSTRIAL DOMINGO MATTE PEREZ,123M
METROPOLITANA DE SANTIAGO,MAIPU,MAIPU,LICEO JOSE IGNACIO ZENTENO LOCAL: 1,156V
METROPOLITANA DE SANTIAGO,MAIPU,MAIPU,LICEO JOSE IGNACIO ZENTENO LOCAL: 2,170V
METROPOLITANA DE SANTIAGO,MAIPU,MAIPU,POLIDEPORTIVO OLIMPICO,74V
METROPOLITANA DE SANTIAGO,MAIPU,MAIPU PONIENTE,COLEGIO JACQUES COUSTEAU LOCAL: 1,21V
METROPOLITANA DE SANTIAGO,MAIPU,MAIPU PONIENTE,COLEGIO JACQUES COUSTEAU LOCAL: 2,33V
METROPOLITANA DE SANTIAGO,MAIPU,MAIPU PONIENTE,COLEGIO POLIVALENTE DIEGO PORTALES DE MAIPU,213
METROPOLITANA DE SANTIAGO,MAIPU,MAIPU PONIENTE,COLEGIO SAN JUAN DIEGO DE GUADALUPE,194
METROPOLITANA DE SANTIAGO,MAIPU,MAIPU PONIENTE,LICEO NACIONAL DE MAIPU LOCAL: 1,2M
METROPOLITANA DE SANTIAGO,MAIPU,MAIPU PONIENTE,LICEO NACIONAL DE MAIPU LOCAL: 1,7M
METROPOLITANA DE SANTIAGO,MAIPU,MAIPU PONIENTE,LICEO NACIONAL DE MAIPU LOCAL: 3,44M
METROPOLITANA DE SANTIAGO,MAIPU,MAIPU PONIENTE,LICEO TECNOLOGICO BICENTENARIO ENRIQUE KIRBERG BALTIANSKY LOCAL: 2,105
METROPOLITANA DE SANTIAGO,MAIPU,MAIPU PONIENTE,LICEO TECNOLOGICO BICENTENARIO ENRIQUE KIRBERG BALTIANSKY LOCAL: 3,108
METROPOLITANA DE SANTIAGO,ÑUÑOA,ESTADIO NACIONAL,LICEO CARMELA SILVA DONOSO LOCAL: 4,56M
METROPOLITANA DE SANTIAGO,ÑUÑOA,ESTADIO NACIONAL,LICEO JOSE TORIBIO MEDINA,71V
METROPOLITANA DE SANTIAGO,ÑUÑOA,PLAZA EGAÑA,COLEGIO SANTA MARTA,60V
METROPOLITANA DE SANTIAGO,ÑUÑOA,PLAZA EGAÑA,ESCUELA BENJAMIN CLARO VELASCO,61M
METROPOLITANA DE SANTIAGO,ÑUÑOA,PLAZA EGAÑA,ESCUELA DIFERENCIAL MUNICIPAL AMAPOLAS,73V
METROPOLITANA DE SANTIAGO,ÑUÑOA,PLAZA EGAÑA,ESCUELA REPUBLICA DE SIRIA,9V
METROPOLITANA DE SANTIAGO,ÑUÑOA,PLAZA ÑUÑOA,ESCUELA BASICA JOSE TORIBIO MEDINA ,7M
METROPOLITANA DE SANTIAGO,ÑUÑOA,PLAZA ÑUÑOA,ESCUELA BASICA JOSE TORIBIO MEDINA ,20M
METROPOLITANA DE SANTIAGO,ÑUÑOA,PLAZA ÑUÑOA,LICEO EXPERIMENTAL MANUEL DE SALAS LOCAL: 2,80M
METROPOLITANA DE SANTIAGO,ÑUÑOA,PLAZA ÑUÑOA,LICEO EXPERIMENTAL MANUEL DE SALAS LOCAL: 2,84M
METROPOLITANA DE SANTIAGO,ÑUÑOA,PLAZA ÑUÑOA,LICEO REPUBLICA DE SIRIA,62V
METROPOLITANA DE SANTIAGO,PEDRO AGUIRRE CERDA,P AGUIRRE CERDA N.,CENTRO EDUCATIVO REPUBLICA MEXICANA LOCAL: 1,33V
METROPOLITANA DE SANTIAGO,PEDRO AGUIRRE CERDA,P AGUIRRE CERDA N.,CENTRO EDUCATIVO REPUBLICA MEXICANA LOCAL: 1,43V
METROPOLITANA DE SANTIAGO,PEDRO AGUIRRE CERDA,P AGUIRRE CERDA N.,CENTRO EDUCATIVO REPUBLICA MEXICANA LOCAL: 2,52V
METROPOLITANA DE SANTIAGO,PEDRO AGUIRRE CERDA,P AGUIRRE CERDA N.,CENTRO EDUCATIVO REPUBLICA MEXICANA LOCAL: 2,58V
METROPOLITANA DE SANTIAGO,PEDRO AGUIRRE CERDA,P AGUIRRE CERDA N.,ESCUELA LA VICTORIA,11V
METROPOLITANA DE SANTIAGO,PEDRO AGUIRRE CERDA,P AGUIRRE CERDA N.,ESCUELA PARTICULAR ROCIO DE LOS ANGELES,62M
METROPOLITANA DE SANTIAGO,PEDRO AGUIRRE CERDA,P AGUIRRE CERDA N.,ESCUELA POETAS DE CHILE,12M
METROPOLITANA DE SANTIAGO,PEDRO AGUIRRE CERDA,P AGUIRRE CERDA N.,ESTABLECIMIENTO EDUCATIVO PARTICULAR ARCANGEL GABRIEL N°2,53M
METROPOLITANA DE SANTIAGO,PEDRO AGUIRRE CERDA,P AGUIRRE CERDA S.,COLEGIO GRACE SCHOOL,76M
METROPOLITANA DE SANTIAGO,PEDRO AGUIRRE CERDA,P AGUIRRE CERDA S.,COLEGIO PARQUE LAS AMERICAS LOCAL: 1,4V
METROPOLITANA DE SANTIAGO,PEDRO AGUIRRE CERDA,P AGUIRRE CERDA S.,COLEGIO PARQUE LAS AMERICAS LOCAL: 1,5V
METROPOLITANA DE SANTIAGO,PEDRO AGUIRRE CERDA,P AGUIRRE CERDA S.,COLEGIO PARQUE LAS AMERICAS LOCAL: 2,24V
METROPOLITANA DE SANTIAGO,PEDRO AGUIRRE CERDA,P AGUIRRE CERDA S.,ESCUELA BASICA RICARDO EDUARDO LATCHAM,56M
METROPOLITANA DE SANTIAGO,PEDRO AGUIRRE CERDA,P AGUIRRE CERDA S.,ESCUELA BOROA,98M
METROPOLITANA DE SANTIAGO,PEDRO AGUIRRE CERDA,P AGUIRRE CERDA S.,ESCUELA CONSOLIDADA DAVILA,22M
METROPOLITANA DE SANTIAGO,PEDRO AGUIRRE CERDA,P AGUIRRE CERDA S.,ESCUELA LO VALLEDOR ,50M
METROPOLITANA DE SANTIAGO,PEDRO AGUIRRE CERDA,P AGUIRRE CERDA S.,ESCUELA VILLA SUR,31M
METROPOLITANA DE SANTIAGO,PEDRO AGUIRRE CERDA,P AGUIRRE CERDA S.,ESCUELA VILLA SUR,38M
METROPOLITANA DE SANTIAGO,PEÑALOLEN,CONSISTORIAL,ESCUELA BASICA PARTICULAR 1650 MIRAVALLE LOCAL: 1,39
METROPOLITANA DE SANTIAGO,PEÑALOLEN,CONSISTORIAL,ESCUELA BASICA PARTICULAR 1650 MIRAVALLE LOCAL: 1,45
METROPOLITANA DE SANTIAGO,PEÑALOLEN,CONSISTORIAL,ESCUELA JUAN BAUTISTA PASTENE,6M
METROPOLITANA DE SANTIAGO,PEÑALOLEN,CONSISTORIAL,ESCUELA JUAN BAUTISTA PASTENE,11M
METROPOLITANA DE SANTIAGO,PEÑALOLEN,CONSISTORIAL,ESCUELA SAN JOSE OBRERO,67
METROPOLITANA DE SANTIAGO,PEÑALOLEN,CONSISTORIAL,ESCUELA UNION NACIONAL ARABE,106
METROPOLITANA DE SANTIAGO,PEÑALOLEN,PEÑALOLEN,CENTRO EDUCACIONAL MARIANO EGAÑA LOCAL: 1,85M
METROPOLITANA DE SANTIAGO,PEÑALOLEN,PEÑALOLEN,CENTRO EDUCACIONAL MARIANO EGAÑA LOCAL: 1,90M
METROPOLITANA DE SANTIAGO,PEÑALOLEN,PEÑALOLEN,CENTRO EDUCACIONAL MARIANO EGAÑA LOCAL: 1,93M
METROPOLITANA DE SANTIAGO,PEÑALOLEN,PEÑALOLEN,CENTRO EDUCACIONAL MARIANO EGAÑA LOCAL: 2,108M
METROPOLITANA DE SANTIAGO,PEÑALOLEN,PEÑALOLEN,ESCUELA PARTICULAR SANTA VICTORIA,142M
METROPOLITANA DE SANTIAGO,PEÑALOLEN,PEÑALOLEN,ESCUELA SANTA MARIA DE PEÑALOLEN,112V
METROPOLITANA DE SANTIAGO,PEÑALOLEN,PEÑALOLEN,LICEO ANTONIO HERMIDA FABRES LOCAL: 1,61V
METROPOLITANA DE SANTIAGO,PEÑALOLEN,PEÑALOLEN,LICEO ANTONIO HERMIDA FABRES LOCAL: 2,74V
METROPOLITANA DE SANTIAGO,PEÑALOLEN,SAN LUIS,CENTRO EDUCACIONAL EDUARDO DE LA BARRA LOCAL: 2,29M
METROPOLITANA DE SANTIAGO,PEÑALOLEN,SAN LUIS,COLEGIO PARTICULAR JORGE PRIETO LETELIER ,38V
METROPOLITANA DE SANTIAGO,PEÑALOLEN,SAN LUIS,COLEGIO PARTICULAR JORGE PRIETO LETELIER ,39V
METROPOLITANA DE SANTIAGO,PROVIDENCIA,PROVIDENCIA,COLEGIO DE LOS SAGRADOS CORAZONES PROVIDENCIA LOCAL: 2,293
METROPOLITANA DE SANTIAGO,PROVIDENCIA,PROVIDENCIA,COLEGIO PARTICULAR REGINA PACIS,276
METROPOLITANA DE SANTIAGO,PROVIDENCIA,PROVIDENCIA,COLEGIO SAN IGNACIO EL BOSQUE LOCAL: 1,201M
METROPOLITANA DE SANTIAGO,PROVIDENCIA,PROVIDENCIA,COLEGIO SAN IGNACIO EL BOSQUE LOCAL: 1,214M
METROPOLITANA DE SANTIAGO,PROVIDENCIA,PROVIDENCIA,ESCUELA PROVIDENCIA,119M
METROPOLITANA DE SANTIAGO,PROVIDENCIA,PROVIDENCIA,INSTITUTO DE HUMANIDADES LUIS CAMPINO LOCAL: 2,93M
METROPOLITANA DE SANTIAGO,PUDAHUEL,CIUDAD DE LOS VALLES,COLEGIO MANQUECURA CIUDAD DE LOS VALLES,17
METROPOLITANA DE SANTIAGO,PUDAHUEL,CIUDAD DE LOS VALLES,COLEGIO MANQUECURA CIUDAD DE LOS VALLES,20
METROPOLITANA DE SANTIAGO,PUDAHUEL,PUDAHUEL,CENTRO EDUCACIONAL PUDAHUEL,90V
METROPOLITANA DE SANTIAGO,PUDAHUEL,PUDAHUEL,CENTRO EDUCACIONAL PUDAHUEL,102V
METROPOLITANA DE SANTIAGO,PUDAHUEL,PUDAHUEL,COLEGIO FINLANDIA,190
METROPOLITANA DE SANTIAGO,PUDAHUEL,PUDAHUEL,ESCUELA ALBERT EINSTEIN LOCAL: 1,153
METROPOLITANA DE SANTIAGO,PUDAHUEL,PUDAHUEL,ESCUELA ALBERT EINSTEIN LOCAL: 2,168
METROPOLITANA DE SANTIAGO,PUDAHUEL,PUDAHUEL,ESCUELA BASICA MELVIN JONES LOCAL: 1,119V
METROPOLITANA DE SANTIAGO,PUDAHUEL,PUDAHUEL,ESCUELA BASICA MELVIN JONES LOCAL: 2,140
METROPOLITANA DE SANTIAGO,PUDAHUEL,PUDAHUEL,ESCUELA EL SALITRE ,20V
METROPOLITANA DE SANTIAGO,PUDAHUEL,PUDAHUEL,ESCUELA EL SALITRE ,28V
METROPOLITANA DE SANTIAGO,PUDAHUEL,PUDAHUEL,ESCUELA ESTADO DE FLORIDA,50M
METROPOLITANA DE SANTIAGO,PUDAHUEL,PUDAHUEL,ESCUELA ESTRELLA DE CHILE LOCAL: 1,101M
METROPOLITANA DE SANTIAGO,PUDAHUEL,PUDAHUEL,ESCUELA MONSEÑOR CARLOS OVIEDO ,4M
METROPOLITANA DE SANTIAGO,PUDAHUEL,PUDAHUEL,ESCUELA MONSEÑOR CARLOS OVIEDO ,6M
METROPOLITANA DE SANTIAGO,PUDAHUEL,PUDAHUEL,ESCUELA TENIENTE HERNAN MERINO CORREA ,55V
METROPOLITANA DE SANTIAGO,PUDAHUEL,PUDAHUEL,ESCUELA TENIENTE HERNAN MERINO CORREA ,59V
METROPOLITANA DE SANTIAGO,PUDAHUEL,PUDAHUEL SUR,COLEGIO POLIVALENTE GERONIMO DE ALDERETE,69
METROPOLITANA DE SANTIAGO,PUDAHUEL,PUDAHUEL SUR,COLEGIO POLIVALENTE GERONIMO DE ALDERETE,74
METROPOLITANA DE SANTIAGO,PUDAHUEL,PUDAHUEL SUR,COLEGIO SAN ALBERTO HURTADO DE PUDAHUEL,79
METROPOLITANA DE SANTIAGO,PUDAHUEL,PUDAHUEL SUR,ESCUELA PUERTO FUTURO,48
METROPOLITANA DE SANTIAGO,PUDAHUEL,PUDAHUEL SUR,LICEO MONSEÑOR ENRIQUE ALVEAR BASICA,1V
METROPOLITANA DE SANTIAGO,PUDAHUEL,PUDAHUEL SUR,LICEO MONSEÑOR ENRIQUE ALVEAR BASICA,8V
METROPOLITANA DE SANTIAGO,PUDAHUEL,PUDAHUEL SUR,LICEO MONSEÑOR ENRIQUE ALVEAR MEDIA LOCAL: 2,28M
METROPOLITANA DE SANTIAGO,QUILICURA,QUILICURA,COLEGIO PALMARES,66V
METROPOLITANA DE SANTIAGO,QUILICURA,QUILICURA,COLEGIO PALMARES,71V
METROPOLITANA DE SANTIAGO,QUILICURA,QUILICURA,COLEGIO PARTICULAR MELFORD COLLEGE,63M
METROPOLITANA DE SANTIAGO,QUILICURA,QUILICURA,COLEGIO PARTICULAR MELFORD COLLEGE,75M
METROPOLITANA DE SANTIAGO,QUILICURA,QUILICURA,COLEGIO PARTICULAR NOVO MUNDO,202
METROPOLITANA DE SANTIAGO,QUILICURA,QUILICURA,COLEGIO SAN ADRIAN DE QUILICURA,324-325-326
METROPOLITANA DE SANTIAGO,QUILICURA,QUILICURA,COLEGIO SAN CARLOS DE QUILICURA,213
METROPOLITANA DE SANTIAGO,QUILICURA,QUILICURA,COLEGIO SAN CARLOS DE QUILICURA,214
METROPOLITANA DE SANTIAGO,QUILICURA,QUILICURA,COLEGIO SAN CARLOS DE QUILICURA,221
METROPOLITANA DE SANTIAGO,QUILICURA,QUILICURA,COLEGIO SAN ISAAC JOGUES,259
METROPOLITANA DE SANTIAGO,QUILICURA,QUILICURA,COLEGIO SAN SEBASTIAN DE QUILICURA LOCAL: 1,125
METROPOLITANA DE SANTIAGO,QUILICURA,QUILICURA,COLEGIO SAN SEBASTIAN DE QUILICURA LOCAL: 2,140
METROPOLITANA DE SANTIAGO,QUILICURA,QUILICURA,COLEGIO SANTA BARBARA H.S.,92M
METROPOLITANA DE SANTIAGO,QUILICURA,QUILICURA,ESCUELA BASICA ANA FRANK,48V
METROPOLITANA DE SANTIAGO,QUILICURA,QUILICURA,ESCUELA BASICA ANA FRANK,50V
METROPOLITANA DE SANTIAGO,QUILICURA,QUILICURA,ESCUELA BASICA ANA FRANK,52V
METROPOLITANA DE SANTIAGO,QUILICURA,QUILICURA,ESCUELA BASICA ANA FRANK,61V
METROPOLITANA DE SANTIAGO,QUILICURA,QUILICURA,ESCUELA BASICA EL MAÑIO,165
METROPOLITANA DE SANTIAGO,QUILICURA,QUILICURA,ESCUELA ESTADO DE MICHIGAN,32M
METROPOLITANA DE SANTIAGO,QUILICURA,QUILICURA,ESCUELA LUIS CRUZ MARTINEZ LOCAL: 1,108M
METROPOLITANA DE SANTIAGO,QUILICURA,QUILICURA,ESCUELA LUIS CRUZ MARTINEZ LOCAL: 2,23V
METROPOLITANA DE SANTIAGO,QUILICURA,QUILICURA,LICEO BICENTENARIO DE EXCELENCIA FRANCISCO BILBAO BARQUIN DE QUILICURA,87V
METROPOLITANA DE SANTIAGO,QUILICURA,QUILICURA,LICEO JOSE DOMINGO CAÑAS,172
METROPOLITANA DE SANTIAGO,QUILICURA,QUILICURA,LICEO JOSE DOMINGO CAÑAS,180
METROPOLITANA DE SANTIAGO,QUINTA NORMAL,QUINTA NORMAL,COLEGIO BICENTENARIO ELVIRA HURTADO DE MATTE DE SANTIAGO,139M
METROPOLITANA DE SANTIAGO,QUINTA NORMAL,QUINTA NORMAL,COLEGIO BICENTENARIO ELVIRA HURTADO DE MATTE DE SANTIAGO,145M
METROPOLITANA DE SANTIAGO,QUINTA NORMAL,QUINTA NORMAL,COLEGIO BICENTENARIO ELVIRA HURTADO DE MATTE DE SANTIAGO,146M
METROPOLITANA DE SANTIAGO,QUINTA NORMAL,QUINTA NORMAL,ESCUELA ANTUMALAL LOCAL: 2,18M
METROPOLITANA DE SANTIAGO,QUINTA NORMAL,QUINTA NORMAL,ESCUELA ANTUMALAL LOCAL: 2,25M
METROPOLITANA DE SANTIAGO,QUINTA NORMAL,QUINTA NORMAL,LICEO INDUSTRIAL BENJAMIN FRANKLIN LOCAL: 2,111V
METROPOLITANA DE SANTIAGO,QUINTA NORMAL,QUINTA NORMAL,LICEO POLIVALENTE JUAN ANTONIO RIOS LOCAL: 1,61V
METROPOLITANA DE SANTIAGO,RECOLETA,RECOLETA NORTE,CENTRO EDUCACIONAL ESCRITORES DE CHILE,22M
METROPOLITANA DE SANTIAGO,RECOLETA,RECOLETA NORTE,CENTRO EDUCACIONAL ESCRITORES DE CHILE,23M
METROPOLITANA DE SANTIAGO,RECOLETA,RECOLETA NORTE,ESCUELA BASICA N° 953 JOSE ARTIGAS,88M
METROPOLITANA DE SANTIAGO,RECOLETA,RECOLETA NORTE,ESCUELA ESPAÑA,12V
METROPOLITANA DE SANTIAGO,RECOLETA,RECOLETA NORTE,ESCUELA MUNICIPAL HERMANA MARIA GORETTI,48V
METROPOLITANA DE SANTIAGO,RECOLETA,RECOLETA NORTE,ESCUELA PUERTO RICO,31V
METROPOLITANA DE SANTIAGO,RECOLETA,RECOLETA NORTE,ESCUELA SARGENTO 2 DANIEL REBOLLEDO,67V
METROPOLITANA DE SANTIAGO,RECOLETA,RECOLETA NORTE,LICEO AVENIDA RECOLETA LOCAL: 1,51M
METROPOLITANA DE SANTIAGO,RECOLETA,RECOLETA NORTE,LICEO AVENIDA RECOLETA LOCAL: 1,52M
METROPOLITANA DE SANTIAGO,RECOLETA,RECOLETA NORTE,LICEO AVENIDA RECOLETA LOCAL: 2,65M
METROPOLITANA DE SANTIAGO,RECOLETA,RECOLETA SUR,COMPLEJO EDUCACIONAL JUANITA FERNANDEZ SOLAR,5M
METROPOLITANA DE SANTIAGO,RECOLETA,RECOLETA SUR,COMPLEJO EDUCACIONAL JUANITA FERNANDEZ SOLAR,14M
METROPOLITANA DE SANTIAGO,RECOLETA,RECOLETA SUR,ESCUELA BASICA BILINGÜE REPUBLICA DEL PARAGUAY LOCAL: 1,49M
METROPOLITANA DE SANTIAGO,RECOLETA,RECOLETA SUR,ESCUELA RAFAEL VALDIVIESO,85M
METROPOLITANA DE SANTIAGO,RECOLETA,RECOLETA SUR,ESCUELA VICTOR CUCCUINI,142
METROPOLITANA DE SANTIAGO,RECOLETA,RECOLETA SUR,LICEO PAULA JARAQUEMADA,19M
METROPOLITANA DE SANTIAGO,RECOLETA,RECOLETA SUR,LICEO PAULA JARAQUEMADA,32M
METROPOLITANA DE SANTIAGO,RENCA,RENCA,COLEGIO POLIVALENTE SAN JOSE DE RENCA LOCAL: 2,138V
METROPOLITANA DE SANTIAGO,RENCA,RENCA,ESCUELA BASICA ISABEL LE BRUN,4V
METROPOLITANA DE SANTIAGO,RENCA,RENCA,ESCUELA BASICA LO VELASQUEZ,52M
METROPOLITANA DE SANTIAGO,RENCA,RENCA,ESCUELA CAPITAN JOSE LUIS ARANEDA,157
METROPOLITANA DE SANTIAGO,RENCA,RENCA,ESCUELA CAPITAN JOSE LUIS ARANEDA,164
METROPOLITANA DE SANTIAGO,RENCA,RENCA,ESCUELA GENERAL ALEJANDRO GOROSTIAGA ORREGO,28M
METROPOLITANA DE SANTIAGO,RENCA,RENCA,ESCUELA GENERAL ALEJANDRO GOROSTIAGA ORREGO,37M
METROPOLITANA DE SANTIAGO,RENCA,RENCA,ESCUELA N° 1365 PADRE GUSTAVO LE PAIGE LOCAL: 1,73M
METROPOLITANA DE SANTIAGO,RENCA,RENCA,ESCUELA N° 1365 PADRE GUSTAVO LE PAIGE LOCAL: 2,102M
METROPOLITANA DE SANTIAGO,RENCA,RENCA,LICEO THOMAS ALVA EDISON,18V
METROPOLITANA DE SANTIAGO,SAN JOAQUIN,SAN JOAQUIN,COLEGIO CIUDAD DE FRANKFORT,106M
METROPOLITANA DE SANTIAGO,SAN JOAQUIN,SAN JOAQUIN,COLEGIO HAYDN DE SAN JOAQUIN,41M
METROPOLITANA DE SANTIAGO,SAN JOAQUIN,SAN JOAQUIN,COLEGIO HAYDN DE SAN JOAQUIN,42M
METROPOLITANA DE SANTIAGO,SAN JOAQUIN,SAN JOAQUIN,COLEGIO HAYDN DE SAN JOAQUIN,48M
METROPOLITANA DE SANTIAGO,SAN JOAQUIN,SAN JOAQUIN,COLEGIO HAYDN DE SAN JOAQUIN,49M
METROPOLITANA DE SANTIAGO,SAN JOAQUIN,SAN JOAQUIN,COLEGIO INFOCAP,81V
METROPOLITANA DE SANTIAGO,SAN JOAQUIN,SAN JOAQUIN,LICEO MUNICIPAL SAN JOAQUIN,3M
METROPOLITANA DE SANTIAGO,SAN JOAQUIN,SAN JOAQUIN,LICEO MUNICIPAL SAN JOAQUIN,6M
METROPOLITANA DE SANTIAGO,SAN JOAQUIN,SAN JOAQUIN,LICEO MUNICIPAL SAN JOAQUIN,9M
METROPOLITANA DE SANTIAGO,SAN JOAQUIN,SAN JOAQUIN,LICEO MUNICIPAL SAN JOAQUIN,14M
METROPOLITANA DE SANTIAGO,SAN MIGUEL,SAN MIGUEL,COLEGIO BICENTENARIO SANTO CURA DE ARS,188
METROPOLITANA DE SANTIAGO,SAN MIGUEL,SAN MIGUEL,COLEGIO CHILE,172
METROPOLITANA DE SANTIAGO,SAN MIGUEL,SAN MIGUEL,COLEGIO PARROQUIAL SAN MIGUEL LOCAL: 2,50M
METROPOLITANA DE SANTIAGO,SAN MIGUEL,SAN MIGUEL,COLEGIO PARROQUIAL SAN MIGUEL LOCAL: 2,56M
METROPOLITANA DE SANTIAGO,SAN MIGUEL,SAN MIGUEL,ESCUELA DE LA INDUSTRIA GRAFICA HECTOR GOMEZ,70V
METROPOLITANA DE SANTIAGO,SAN MIGUEL,SAN MIGUEL,ESCUELA LLANO SUBERCASEAUX LOCAL: 1,111M
METROPOLITANA DE SANTIAGO,SAN MIGUEL,SAN MIGUEL,ESCUELA TERRITORIO ANTARTICO,1V
METROPOLITANA DE SANTIAGO,SAN MIGUEL,SAN MIGUEL,INSTITUTO MIGUEL LEON PRADO,108M
METROPOLITANA DE SANTIAGO,SAN MIGUEL,SAN MIGUEL,INSTITUTO SUPERIOR DE COMERCIO DE CHILE (EX A99) LOCAL: 2,74M
METROPOLITANA DE SANTIAGO,SAN MIGUEL,SAN MIGUEL,LICEO ANDRES BELLO LOCAL: 2,23M
METROPOLITANA DE SANTIAGO,SAN MIGUEL,SAN MIGUEL,LICEO ANDRES BELLO LOCAL: 2,29M
METROPOLITANA DE SANTIAGO,SAN MIGUEL,SAN MIGUEL,LICEO BETSABE HORMAZABAL DE ALARCON LOCAL: 2,95V
METROPOLITANA DE SANTIAGO,SAN MIGUEL,SAN MIGUEL,LICEO BETSABE HORMAZABAL DE ALARCON LOCAL: 2,110V
METROPOLITANA DE SANTIAGO,SAN RAMON,SAN RAMON,CENTRO DE EDUCACION PAULA JARAQUEMADA,97V
METROPOLITANA DE SANTIAGO,SAN RAMON,SAN RAMON,CENTRO DE EDUCACION PAULA JARAQUEMADA,98V
METROPOLITANA DE SANTIAGO,SAN RAMON,SAN RAMON,CENTRO EDUCACIONAL SAN RAMON,27M
METROPOLITANA DE SANTIAGO,SAN RAMON,SAN RAMON,ESCUELA BASICA ALIVEN,65M
METROPOLITANA DE SANTIAGO,SAN RAMON,SAN RAMON,ESCUELA BASICA EDUCADORES DE CHILE,13V
METROPOLITANA DE SANTIAGO,SAN RAMON,SAN RAMON,ESCUELA BASICA EDUCADORES DE CHILE,17V
METROPOLITANA DE SANTIAGO,SAN RAMON,SAN RAMON,ESCUELA BASICA SENDERO DEL SABER,80V
METROPOLITANA DE SANTIAGO,SAN RAMON,SAN RAMON,ESCUELA BASICA VILLA LA CULTURA,97M
METROPOLITANA DE SANTIAGO,SAN RAMON,SAN RAMON,ESCUELA NANIHUE,53V
METROPOLITANA DE SANTIAGO,SAN RAMON,SAN RAMON,ESCUELA NANIHUE,58V
METROPOLITANA DE SANTIAGO,SAN RAMON,SAN RAMON,LICEO MUNICIPALIZADO ARAUCANIA,11M
METROPOLITANA DE SANTIAGO,SAN RAMON,SAN RAMON,LICEO MUNICIPALIZADO ARAUCANIA,14M
METROPOLITANA DE SANTIAGO,SANTIAGO,EL CENTRO,COLEGIO NUESTRA SEÑORA DE ANDACOLLO LOCAL: 2,345
METROPOLITANA DE SANTIAGO,SANTIAGO,EL CENTRO,ESCUELA BASICA LIBERTADORES DE CHILE LOCAL: 2,52V
METROPOLITANA DE SANTIAGO,SANTIAGO,EL CENTRO,ESCUELA BASICA REPUBLICA DE PANAMA,189
METROPOLITANA DE SANTIAGO,SANTIAGO,PARQUE ALMAGRO,COLEGIO EXCELSIOR LOCAL: 1,174
METROPOLITANA DE SANTIAGO,SANTIAGO,PARQUE ALMAGRO,COLEGIO EXCELSIOR LOCAL: 1,179
METROPOLITANA DE SANTIAGO,SANTIAGO,PARQUE ALMAGRO,COLEGIO EXCELSIOR LOCAL: 2,182
METROPOLITANA DE SANTIAGO,SANTIAGO,PARQUE ALMAGRO,COLEGIO EXCELSIOR LOCAL: 2,191
METROPOLITANA DE SANTIAGO,SANTIAGO,PARQUE ALMAGRO,ESCUELA BASICA BENJAMIN VICUÑA MACKENNA,85V
METROPOLITANA DE SANTIAGO,SANTIAGO,PARQUE ALMAGRO,ESCUELA COLEGIO POLIVALENTE SANTA FAMILIA,78M
METROPOLITANA DE SANTIAGO,SANTIAGO,PARQUE ALMAGRO,LICEO CONFEDERACION SUIZA,3V
METROPOLITANA DE SANTIAGO,SANTIAGO,PARQUE ALMAGRO,LICEO MIGUEL DE CERVANTES Y SAAVEDRA,91V
METROPOLITANA DE SANTIAGO,SANTIAGO,PARQUE O'HIGGINS,ESCUELA BASICA IRENE FREI DE CID,34V
METROPOLITANA DE SANTIAGO,SANTIAGO,PARQUE O'HIGGINS,INSTITUTO HERMANOS MATTE LOCAL: 2,105V
METROPOLITANA DE SANTIAGO,SANTIAGO,PARQUE O'HIGGINS,LICEO MUNICIPAL METROPOLITANO DE ADULTOS LOCAL: 1,51M
METROPOLITANA DE SANTIAGO,VITACURA,VITACURA,COLEGIO DE LOS SAGRADOS CORAZONES DE MANQUEHUE LOCAL: 1,135M
METROPOLITANA DE SANTIAGO,VITACURA,VITACURA,COLEGIO DE LOS SAGRADOS CORAZONES DE MANQUEHUE LOCAL: 1,140M
METROPOLITANA DE SANTIAGO,VITACURA,VITACURA,COLEGIO DE LOS SAGRADOS CORAZONES DE MANQUEHUE LOCAL: 2,24V
METROPOLITANA DE SANTIAGO,VITACURA,VITACURA,COLEGIO DE LOS SAGRADOS CORAZONES DE MANQUEHUE LOCAL: 2,26V
METROPOLITANA DE SANTIAGO,VITACURA,VITACURA,COLEGIO LOS ANDES DE VITACURA,22M
METROPOLITANA DE SANTIAGO,VITACURA,VITACURA,COLEGIO SAN PEDRO NOLASCO ,97M
METROPOLITANA DE SANTIAGO,VITACURA,VITACURA,COLEGIO SANTA URSULA VITACURA,120M
METROPOLITANA DE SANTIAGO,VITACURA,VITACURA,LICEO MARIA LUISA BOMBAL,130M
METROPOLITANA DE SANTIAGO,EL MONTE,EL MONTE,ESCUELA REPUBLICA DE HONDURAS ,45
METROPOLITANA DE SANTIAGO,EL MONTE,EL MONTE,ESCUELA REPUBLICA DEL ECUADOR LOCAL: 1,5V
METROPOLITANA DE SANTIAGO,ISLA DE MAIPO,ISLA DE MAIPO,CENTRO EDUCACIONAL ISLA DE MAIPO,44
METROPOLITANA DE SANTIAGO,PADRE HURTADO,PADRE HURTADO,COLEGIO ALBERTO HURTADO CRUCHAGA,27M
