re,co,cc,lo,me
DE COQUIMBO,LA SERENA,LAS COMPAÑIAS,LICEO TECNICO FEMENINO LAS COMPANIAS,108
DE COQUIMBO,PAIHUANO,PAIHUANO,LICEO MISTRALIANO,2M
DE COQUIMBO,COMBARBALA,COMBARBALA,ESCUELA BASICA AMERICA,8M
DE COQUIMBO,MONTE PATRIA,CAREN,COLEGIO RIO GRANDE,1V
DE COQUIMBO,MONTE PATRIA,CAREN,COLEGIO RIO GRANDE,4V
DE COQUIMBO,MONTE PATRIA,CHAÑARAL ALTO,ESCUELA ALEJANDRO CHELEN ROJAS,2M
DE COQUIMBO,MONTE PATRIA,EL PALQUI,ESCUELA EL PALQUI,6
DE COQUIMBO,MONTE PATRIA,MONTE PATRIA,COLEGIO REPUBLICA DE CHILE,10V
DE COQUIMBO,MONTE PATRIA,MONTE PATRIA,LICEO PRESIDENTE EDUARDO FREI MONTALVA,25
DE COQUIMBO,MONTE PATRIA,RAPEL,ESCUELA BASICA WENCESLAO VARGAS,1V
DE COQUIMBO,OVALLE,CERRILLOS DE TAMAYA,ESCUELA ARTURO VILLALON SIEULANNE,4M
DE COQUIMBO,OVALLE,OVALLE,COLEGIO FRAY JORGE,4M
DE COQUIMBO,OVALLE,OVALLE,COLEGIO FRAY JORGE,8M
DE COQUIMBO,OVALLE,OVALLE,COLEGIO FRAY JORGE,11M
DE COQUIMBO,OVALLE,OVALLE,COLEGIO FRAY JORGE,20M
DE COQUIMBO,OVALLE,OVALLE,ESCUELA DE ARTES Y MUSICA,74M
DE COQUIMBO,OVALLE,OVALLE,ESCUELA DE ARTES Y MUSICA,80M
DE COQUIMBO,OVALLE,OVALLE,ESCUELA DE ARTES Y MUSICA,92M
DE COQUIMBO,OVALLE,OVALLE,ESCUELA DE ARTES Y MUSICA,1V
DE COQUIMBO,OVALLE,OVALLE,ESTADIO DIAGUITA,141
DE COQUIMBO,OVALLE,OVALLE,ESTADIO DIAGUITA,142
DE COQUIMBO,OVALLE,OVALLE,LICEO ALEJANDRO ALVAREZ JOFRE,59M
DE COQUIMBO,OVALLE,OVALLE,LICEO ESTELA AVILA DE PERRY,29M
DE COQUIMBO,OVALLE,OVALLE,LICEO ESTELA AVILA DE PERRY,34M
DE COQUIMBO,OVALLE,OVALLE,LICEO POLITECNICO DE OVALLE,33V
DE COQUIMBO,PUNITAQUI,PUNITAQUI,ESCUELA BELGICA,8M
DE VALPARAISO,OLMUE,OLMUE,COLEGIO  IGNACIO CARRERA PINTO,27
DE VALPARAISO,OLMUE,OLMUE,ESCUELA ATENAS,7V
DE VALPARAISO,QUILPUE,QUILPUE,COLEGIO FUNDADORES DE QUILPUE,15V
