idr,re,co,cc,lo,me
3002,DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA NORTE,ESCUELA ECOLOGICA HUMBERTO GONZALEZ ECHEGOYEN,82M
3002,DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA NORTE,ESCUELA LA BANDERA,56V
3002,DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA NORTE,ESCUELA GENERAL MANUEL BAQUEDANO,297
3002,DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA SUR,HRVATSKA SKOLA SAN ESTEBAN,27V
3002,DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA SUR,LICEO BICENTENARIO ANDRES SABELLA,163V
3003,DE ATACAMA,ALTO DEL CARMEN,EL TRANSITO,EDUCADOR ARTURO ALVEAR RAMOS,4M
3003,DE ATACAMA,ALTO DEL CARMEN,EL TRANSITO,EDUCADOR ARTURO ALVEAR RAMOS,1V
3003,DE ATACAMA,COPIAPO,COPIAPO,ESCUELA DIFERENCIAL MARIA LUZ LANZA PIZARRO,9M
3003,DE ATACAMA,COPIAPO,COPIAPO,ESCUELA DIFERENCIAL MARIA LUZ LANZA PIZARRO,15M
3003,DE ATACAMA,COPIAPO,COPIAPO,ESCUELA SAN VICENTE DE PAUL,30M
3003,DE ATACAMA,COPIAPO,COPIAPO,LICEO SAGRADO CORAZON,46M
3003,DE ATACAMA,COPIAPO,COPIAPO,LICEO CATOLICO ATACAMA,73M
3003,DE ATACAMA,COPIAPO,COPIAPO,COLEGIO ADVENTISTA DE COPIAPO,105V
3003,DE ATACAMA,COPIAPO,COPIAPO,COLEGIO SAN AGUSTIN DE ATACAMA,129V
3003,DE ATACAMA,COPIAPO,COPIAPO,ESCUELA SAN VICENTE DE PAUL,149
3003,DE ATACAMA,COPIAPO,COPIAPO,LICEO TECNICO PROFESIONAL HEROES DE ATACAMA,206
3003,DE ATACAMA,COPIAPO,LOS VOLCANES,CENTRO DE EDUCACION INTEGRADA DE ADULTOS,1
3003,DE ATACAMA,COPIAPO,LOS VOLCANES,CENTRO DE EDUCACION INTEGRADA DE ADULTOS,13
3003,DE ATACAMA,FREIRINA,FREIRINA,ESCUELA BASICA ALEJANDRO NOEMI HUERTA,2M
3003,DE ATACAMA,TIERRA AMARILLA,TIERRA AMARILLA,ESC. BASICA MARTA EMILIANA AGUILAR ZERON,10V
3003,DE ATACAMA,VALLENAR,VALLENAR,ESCUELA BASICA ESPANA,7M
3003,DE ATACAMA,VALLENAR,VALLENAR,LICEO JOSE SANTOS OSSA,34M
3003,DE ATACAMA,VALLENAR,VALLENAR,ESCUELA BASICA GUALBERTO KONG FERNANDEZ,50M
3003,DE ATACAMA,VALLENAR,VALLENAR,LICEO BICENTENARIO DE VALLENAR,49V
3004,DE COQUIMBO,CANELA,CANELA (CANELA BAJA),ESCUELA BASICA HECTOR JORQUERA VALENCIA ,2V
3004,DE COQUIMBO,COMBARBALA,COMBARBALA,ESCUELA BASICA AMERICA,8M
