ts,circelec,idservel,mex,padron,vt1v,c1v
2021-11-26 16:48:54.045109,7023,88,False,6804,3230,47.472
2021-11-26 16:48:54.045109,7023,89,False,5013,1888,37.662
2021-11-26 16:48:54.045109,7023,90,False,5994,2344,39.106
2021-11-26 16:48:54.045109,7023,91,False,7512,3301,43.943
2021-11-26 16:48:54.045109,7023,92,False,5076,1960,38.613
2021-11-26 16:48:54.045109,7023,93,False,6874,3132,45.563
2021-11-26 16:48:54.045109,7023,94,False,7483,2956,39.503
2021-11-26 16:48:54.045109,7023,95,False,7518,3070,40.835
2021-11-26 16:48:54.045109,7023,97,False,5149,2591,50.32
2021-11-26 16:48:54.045109,7023,96,False,6796,2689,39.567
2021-11-26 16:48:54.045109,7023,98,False,6843,2874,41.999
2021-11-26 16:48:54.045109,7023,99,False,7893,2482,31.446
2021-11-26 16:48:54.045109,7023,100,False,7847,3069,39.11
2021-11-26 16:48:54.045109,7023,101,False,7785,3166,40.668
2021-11-26 16:48:54.045109,7023,102,False,7440,2965,39.852
2021-11-26 16:48:54.045109,7023,103,False,7560,3338,44.153
2021-11-26 16:48:54.045109,7023,104,False,7585,2959,39.011
2021-11-26 16:48:54.045109,7025,124,False,6737,2728,40.493
2021-11-26 16:48:54.045109,7025,105,False,7651,3060,39.995
2021-11-26 16:48:54.045109,7025,106,False,6745,3223,47.784
2021-11-26 16:48:54.045109,7025,107,False,6735,2798,41.544
2021-11-26 16:48:54.045109,7025,108,False,6739,3055,45.333
2021-11-26 16:48:54.045109,7025,109,False,5378,2416,44.924
2021-11-26 16:48:54.045109,7025,110,False,6795,3128,46.034
2021-11-26 16:48:54.045109,7025,111,False,6783,3080,45.408
2021-11-26 16:48:54.045109,7025,112,False,6772,2913,43.015
2021-11-26 16:48:54.045109,7025,113,False,5375,2649,49.284
2021-11-26 16:48:54.045109,7025,114,False,6777,3107,45.846
2021-11-26 16:48:54.045109,7025,115,False,6736,2862,42.488
2021-11-26 16:48:54.045109,7025,116,False,6739,2363,35.065
2021-11-26 16:48:54.045109,7025,125,False,7700,3042,39.506
2021-11-26 16:48:54.045109,7025,117,False,8082,4161,51.485
2021-11-26 16:48:54.045109,7025,118,False,6952,2565,36.896
2021-11-26 16:48:54.045109,7025,119,False,7129,3124,43.821
