ts,idservel,tM,iM,pM,cM
2021-12-04 13:15:37.448709,2743,3,3,0,100.0
2021-12-04 13:15:37.448709,2589,42,42,0,100.0
2021-12-04 13:15:37.448709,2513,6,6,0,100.0
2021-12-04 13:15:37.448709,2577,49,49,0,100.0
2021-12-04 13:15:37.448709,2726,459,459,0,100.0
2021-12-04 13:15:37.448709,2536,273,273,0,100.0
2021-12-04 13:15:37.448709,2808,136,136,0,100.0
2021-12-04 13:15:37.448709,2686,175,175,0,100.0
2021-12-04 13:15:37.448709,2530,16,16,0,100.0
2021-12-04 13:15:37.448709,2816,66,66,0,100.0
2021-12-04 13:15:37.448709,2799,166,166,0,100.0
2021-12-04 13:15:37.448709,2736,7,7,0,100.0
2021-12-04 13:15:37.448709,2607,31,31,0,100.0
2021-12-04 13:15:37.448709,2817,108,108,0,100.0
2021-12-04 13:15:37.448709,2572,20,20,0,100.0
2021-12-04 13:15:37.448709,2555,22,22,0,100.0
2021-12-04 13:15:37.448709,2601,24,24,0,100.0
2021-12-04 13:15:37.448709,2637,128,128,0,100.0
2021-12-04 13:15:37.448709,2778,337,337,0,100.0
2021-12-04 13:15:37.448709,2617,26,26,0,100.0
2021-12-04 13:15:37.448709,2624,26,26,0,100.0
2021-12-04 13:15:37.448709,2830,29,29,0,100.0
2021-12-04 13:15:37.448709,2618,37,37,0,100.0
2021-12-04 13:15:37.448709,2648,125,125,0,100.0
2021-12-04 13:15:37.448709,2809,215,215,0,100.0
2021-12-04 13:15:37.448709,2779,582,582,0,100.0
2021-12-04 13:15:37.448709,2608,30,30,0,100.0
2021-12-04 13:15:37.448709,2687,21,21,0,100.0
2021-12-04 13:15:37.448709,2556,30,30,0,100.0
2021-12-04 13:15:37.448709,2590,39,39,0,100.0
2021-12-04 13:15:37.448709,2507,22,22,0,100.0
2021-12-04 13:15:37.448709,2591,50,50,0,100.0
2021-12-04 13:15:37.448709,2596,49,49,0,100.0
2021-12-04 13:15:37.448709,2831,37,37,0,100.0
2021-12-04 13:15:37.448709,2791,80,80,0,100.0
2021-12-04 13:15:37.448709,2688,69,69,0,100.0
2021-12-04 13:15:37.448709,2609,25,25,0,100.0
2021-12-04 13:15:37.448709,2839,23,23,0,100.0
2021-12-04 13:15:37.448709,2753,20,20,0,100.0
2021-12-04 13:15:37.448709,2503,47,47,0,100.0
2021-12-04 13:15:37.448709,2754,4,4,0,100.0
2021-12-04 13:15:37.448709,2780,508,508,0,100.0
2021-12-04 13:15:37.448709,2545,65,65,0,100.0
2021-12-04 13:15:37.448709,2689,86,86,0,100.0
2021-12-04 13:15:37.448709,2781,510,510,0,100.0
2021-12-04 13:15:37.448709,2790,1276,1276,0,100.0
2021-12-04 13:15:37.448709,2707,573,573,0,100.0
2021-12-04 13:15:37.448709,2727,30,30,0,100.0
2021-12-04 13:15:37.448709,2715,128,128,0,100.0
2021-12-04 13:15:37.448709,2610,13,13,0,100.0
2021-12-04 13:15:37.448709,2539,32,32,0,100.0
2021-12-04 13:15:37.448709,2747,400,400,0,100.0
2021-12-04 13:15:37.448709,2721,14,14,0,100.0
2021-12-04 13:15:37.448709,2703,39,39,0,100.0
2021-12-04 13:15:37.448709,2728,71,71,0,100.0
2021-12-04 13:15:37.448709,2573,42,42,0,100.0
2021-12-04 13:15:37.448709,2824,19,19,0,100.0
2021-12-04 13:15:37.448709,2729,35,35,0,100.0
2021-12-04 13:15:37.448709,2722,19,19,0,100.0
2021-12-04 13:15:37.448709,2723,70,70,0,100.0
2021-12-04 13:15:37.448709,2724,34,34,0,100.0
2021-12-04 13:15:37.448709,2668,15,15,0,100.0
2021-12-04 13:15:37.448709,2782,418,418,0,100.0
2021-12-04 13:15:37.448709,2669,34,34,0,100.0
2021-12-04 13:15:37.448709,2832,49,49,0,100.0
2021-12-04 13:15:37.448709,2558,223,223,0,100.0
2021-12-04 13:15:37.448709,2575,398,398,0,100.0
2021-12-04 13:15:37.448709,2725,32,32,0,100.0
2021-12-04 13:15:37.448709,2592,37,37,0,100.0
2021-12-04 13:15:37.448709,2783,304,304,0,100.0
2021-12-04 13:15:37.448709,2546,74,74,0,100.0
2021-12-04 13:15:37.448709,2835,37,37,0,100.0
2021-12-04 13:15:37.448709,2579,574,574,0,100.0
2021-12-04 13:15:37.448709,2840,20,20,0,100.0
2021-12-04 13:15:37.448709,2629,29,29,0,100.0
2021-12-04 13:15:37.448709,2784,466,466,0,100.0
2021-12-04 13:15:37.448709,2704,36,36,0,100.0
2021-12-04 13:15:37.448709,2785,346,346,0,100.0
2021-12-04 13:15:37.448709,2593,149,149,0,100.0
2021-12-04 13:15:37.448709,2594,69,69,0,100.0
2021-12-04 13:15:37.448709,2638,52,52,0,100.0
2021-12-04 13:15:37.448709,2551,28,28,0,100.0
2021-12-04 13:15:37.448709,2821,103,103,0,100.0
2021-12-04 13:15:37.448709,2619,36,36,0,100.0
2021-12-04 13:15:37.448709,2540,18,18,0,100.0
2021-12-04 13:15:37.448709,2746,12,12,0,100.0
2021-12-04 13:15:37.448709,2730,46,46,0,100.0
2021-12-04 13:15:37.448709,2749,3,3,0,100.0
2021-12-04 13:15:37.448709,2630,41,41,0,100.0
2021-12-04 13:15:37.448709,2690,40,40,0,100.0
2021-12-04 13:15:37.448709,2631,50,50,0,100.0
2021-12-04 13:15:37.448709,2535,71,71,0,100.0
2021-12-04 13:15:37.448709,2563,232,232,0,100.0
2021-12-04 13:15:37.448709,2796,679,679,0,100.0
2021-12-04 13:15:37.448709,2842,142,142,0,100.0
2021-12-04 13:15:37.448709,2620,110,110,0,100.0
2021-12-04 13:15:37.448709,2552,45,45,0,100.0
2021-12-04 13:15:37.448709,2845,17,17,0,100.0
2021-12-04 13:15:37.448709,2569,178,178,0,100.0
2021-12-04 13:15:37.448709,2602,187,187,0,100.0
2021-12-04 13:15:37.448709,2750,2,2,0,100.0
2021-12-04 13:15:37.448709,2833,52,52,0,100.0
2021-12-04 13:15:37.448709,2639,117,117,0,100.0
2021-12-04 13:15:37.448709,2786,263,263,0,100.0
2021-12-04 13:15:37.448709,2792,48,48,0,100.0
2021-12-04 13:15:37.448709,2731,32,32,0,100.0
2021-12-04 13:15:37.448709,2787,313,313,0,100.0
2021-12-04 13:15:37.448709,2846,36,36,0,100.0
2021-12-04 13:15:37.448709,2732,31,31,0,100.0
2021-12-04 13:15:37.448709,2804,25,25,0,100.0
2021-12-04 13:15:37.448709,2514,22,22,0,100.0
2021-12-04 13:15:37.448709,2649,270,270,0,100.0
2021-12-04 13:15:37.448709,2621,26,26,0,100.0
2021-12-04 13:15:37.448709,2788,251,251,0,100.0
2021-12-04 13:15:37.448709,2670,15,15,0,100.0
2021-12-04 13:15:37.448709,2595,133,133,0,100.0
2021-12-04 13:15:37.448709,2671,39,39,0,100.0
2021-12-04 13:15:37.448709,2611,92,92,0,100.0
2021-12-04 13:15:37.448709,2650,39,39,0,100.0
2021-12-04 13:15:37.448709,2574,36,36,0,100.0
2021-12-04 13:15:37.448709,2758,1049,1049,0,100.0
2021-12-04 13:15:37.448709,2568,35,35,0,100.0
2021-12-04 13:15:37.448709,2510,9,9,0,100.0
2021-12-04 13:15:37.448709,2805,173,173,0,100.0
2021-12-04 13:15:37.448709,2612,532,532,0,100.0
2021-12-04 13:15:37.448709,2651,465,465,0,100.0
2021-12-04 13:15:37.448709,2511,31,31,0,100.0
2021-12-04 13:15:37.448709,2675,904,904,0,100.0
2021-12-04 13:15:37.448709,2632,73,73,0,100.0
2021-12-04 13:15:37.448709,2691,52,52,0,100.0
2021-12-04 13:15:37.448709,2519,43,43,0,100.0
2021-12-04 13:15:37.448709,2795,54,54,0,100.0
2021-12-04 13:15:37.448709,2755,3,3,0,100.0
2021-12-04 13:15:37.448709,2660,27,27,0,100.0
2021-12-04 13:15:37.448709,2515,69,69,0,100.0
2021-12-04 13:15:37.448709,2692,33,33,0,100.0
2021-12-04 13:15:37.448709,2652,158,158,0,100.0
2021-12-04 13:15:37.448709,2757,6,6,0,100.0
2021-12-04 13:15:37.448709,2744,2,2,0,100.0
2021-12-04 13:15:37.448709,2705,65,65,0,100.0
2021-12-04 13:15:37.448709,2841,20,20,0,100.0
2021-12-04 13:15:37.448709,2672,47,47,0,100.0
2021-12-04 13:15:37.448709,2810,412,412,0,100.0
2021-12-04 13:15:37.448709,2522,135,135,0,100.0
2021-12-04 13:15:37.448709,2541,940,940,0,100.0
2021-12-04 13:15:37.448709,2633,21,21,0,100.0
2021-12-04 13:15:37.448709,2706,111,111,0,100.0
2021-12-04 13:15:37.448709,2531,70,70,0,100.0
2021-12-04 13:15:37.448709,2693,75,75,0,100.0
2021-12-04 13:15:37.448709,2640,41,41,0,100.0
2021-12-04 13:15:37.448709,2578,293,293,0,100.0
2021-12-04 13:15:37.448709,2694,165,165,0,100.0
2021-12-04 13:15:37.448709,2547,947,947,0,100.0
2021-12-04 13:15:37.448709,2789,265,265,0,100.0
2021-12-04 13:15:37.448709,2641,47,47,0,100.0
2021-12-04 13:15:37.448709,2673,68,68,0,100.0
2021-12-04 13:15:37.448709,2834,49,49,0,100.0
2021-12-04 13:15:37.448709,2557,28,28,0,100.0
