ts,circelec,idservel,mex,tM,iM,pM,cM
2021-12-05 05:30:33.692920,7140,1696,False,18,18,0,100.0
2021-12-05 05:30:33.692920,7140,1697,False,15,15,0,100.0
2021-12-05 05:30:33.692920,7140,1698,False,15,15,0,100.0
2021-12-05 05:30:33.692920,7140,1690,False,13,13,0,100.0
2021-12-05 05:30:33.692920,7140,1686,False,22,22,0,100.0
2021-12-05 05:30:33.692920,7140,1687,False,22,22,0,100.0
2021-12-05 05:30:33.692920,7140,1691,False,16,16,0,100.0
2021-12-05 05:30:33.692920,7610,1424,False,18,18,0,100.0
2021-12-05 05:30:33.692920,7610,1425,False,27,27,0,100.0
2021-12-05 05:30:33.692920,7610,1426,False,27,27,0,100.0
2021-12-05 05:30:33.692920,7122,505,False,11,11,0,100.0
2021-12-05 05:30:33.692920,7122,504,False,16,16,0,100.0
2021-12-05 05:30:33.692920,7122,2924,False,16,16,0,100.0
2021-12-05 05:30:33.692920,7218,2423,False,21,21,0,100.0
2021-12-05 05:30:33.692920,7079,280,False,4,4,0,100.0
2021-12-05 05:30:33.692920,7363,1013,False,11,11,0,100.0
2021-12-05 05:30:33.692920,7042,165,False,5,5,0,100.0
2021-12-05 05:30:33.692920,7589,39,False,18,18,0,100.0
2021-12-05 05:30:33.692920,7589,40,False,20,20,0,100.0
2021-12-05 05:30:33.692920,7589,37,False,16,16,0,100.0
2021-12-05 05:30:33.692920,7589,42,False,25,25,0,100.0
2021-12-05 05:30:33.692920,7589,41,False,20,20,0,100.0
2021-12-05 05:30:33.692920,7589,43,False,25,25,0,100.0
2021-12-05 05:30:33.692920,7589,35,False,19,19,0,100.0
2021-12-05 05:30:33.692920,7589,38,False,20,20,0,100.0
2021-12-05 05:30:33.692920,7589,36,False,16,16,0,100.0
2021-12-05 05:30:33.692920,7764,2568,False,13,13,0,100.0
2021-12-05 05:30:33.692920,7764,2569,False,13,13,0,100.0
2021-12-05 05:30:33.692920,7467,1372,False,25,25,0,100.0
2021-12-05 05:30:33.692920,7467,1373,False,20,20,0,100.0
2021-12-05 05:30:33.692920,7467,1374,False,12,12,0,100.0
2021-12-05 05:30:33.692920,7467,1375,False,10,10,0,100.0
2021-12-05 05:30:33.692920,7467,1376,False,20,20,0,100.0
2021-12-05 05:30:33.692920,7467,1377,False,20,20,0,100.0
2021-12-05 05:30:33.692920,7050,205,False,16,16,0,100.0
2021-12-05 05:30:33.692920,7050,204,False,19,19,0,100.0
2021-12-05 05:30:33.692920,7335,856,False,10,10,0,100.0
2021-12-05 05:30:33.692920,7335,857,False,17,17,0,100.0
