ts,idservel,c1,c2,c3,c4,c5,c6,c7,vv,vn,vb,vt,me,tm,cm,w1V
2021-11-26 16:43:19.306967,2794,7393,7309,2752,3677,456,3219,4002,28808,212,121,29141,187,187,100.0,Boric
2021-11-26 16:43:19.306967,2812,1413,2312,981,561,78,309,1000,6654,59,69,6782,50,50,100.0,Kast
2021-11-26 16:43:19.306967,2585,1993,2392,1471,1282,104,779,835,8856,95,97,9048,65,65,100.0,Kast
2021-11-26 16:43:19.306967,2771,22095,78095,12345,53090,598,2553,1826,170602,716,343,171661,803,803,100.0,Kast
2021-11-26 16:43:19.306967,2682,2171,6920,2197,1281,144,785,1829,15327,169,96,15592,102,102,100.0,Kast
2021-11-26 16:43:19.306967,2654,1581,3442,1361,527,95,647,1238,8891,115,80,9086,67,67,100.0,Kast
2021-11-26 16:43:19.306967,2627,562,735,539,628,29,187,347,3027,15,12,3054,24,24,100.0,Kast
2021-11-26 16:43:19.306967,2576,5243,5735,1791,2418,280,1295,2555,19317,170,79,19566,117,117,100.0,Kast
2021-11-26 16:43:19.306967,2634,7895,12574,4137,4493,318,2377,4913,36707,288,157,37152,241,241,100.0,Kast
2021-11-26 16:43:19.306967,2598,673,935,615,470,31,200,208,3132,26,28,3186,22,22,100.0,Kast
2021-11-26 16:43:19.306967,2571,2900,1688,1441,1006,169,974,2060,10238,125,49,10412,62,62,100.0,Boric
2021-11-26 16:43:19.306967,2713,1395,2618,1190,627,66,548,1390,7834,63,70,7967,48,48,100.0,Kast
2021-11-26 16:43:19.306967,2772,4617,28309,2570,16644,200,1249,1189,54778,164,102,55044,248,248,100.0,Kast
2021-11-26 16:43:19.306967,2773,12548,6383,4582,3233,923,5690,4296,37655,298,164,38117,305,305,100.0,Boric
2021-11-26 16:43:19.306967,2774,12923,7554,4785,4389,910,5272,3878,39711,449,166,40326,272,272,100.0,Boric
2021-11-26 16:43:19.306967,2605,568,812,654,569,18,120,228,2969,18,39,3026,21,21,100.0,Kast
